"Date","Event"
"5/10/1939","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1939","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"1/19/1940","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/22/1940","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1940","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1940","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1940","North America - United States - State holiday - Confederate Memorial Day - Friday"
"1/19/1941","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"4/28/1941","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1941","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1941","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1941","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1941","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"1/19/1942","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1942","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1942","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1942","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1942","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1942","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1942","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1943","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/26/1943","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1943","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1943","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1943","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1944","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/24/1944","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1944","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1944","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1944","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"1/19/1945","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/23/1945","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1945","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1945","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1945","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"1/19/1946","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/22/1946","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1946","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1946","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1946","North America - United States - State holiday - Confederate Memorial Day - Friday"
"1/19/1947","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"4/28/1947","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1947","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1947","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1947","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1947","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"1/19/1948","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1948","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1948","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1948","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1948","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1949","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/25/1949","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1949","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1949","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1949","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"1/19/1950","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/24/1950","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1950","North America - United States - State holiday - Confederate Memorial Day - Monday"
